"URL","Versions","Traffic rank","IP country","IP region","Language","Email address","Email address (verified)","Email address (safe)","Phone number","Skype","WhatsApp","Twitter","Facebook","Instagram","GitHub","TikTok","YouTube","Pinterest","LinkedIn","Owler","Title","Description","Copyright","Copyright year","Responsive","schema.org types","Cert organisation","Cert country","Cert state","Cert locality","Cert issuer","Cert protocol","Cert expiry","SPF record","DMARC record","SSL/TLS enabled","Google Analytics","Google AdSense","Medianet","Facebook","Optimizely","Company name","Inferred company name","Industry","About","Locations","Company size","Company type","Company founded","People"
"https://www.upwork.com","1.5.9","3382913","US","","EN ; EN-US ; NL ; RU ; ar ; ar-EG ; ar-aa ; ar-sa ; az ; be-BY","info@upwork.com ; press@upwork.com ; partners@upwork.com ; investor@upwork.com ; accommodation@upwork.com","info@upwork.com ; press@upwork.com ; partners@upwork.com ; investor@upwork.com ; accommodation@upwork.com","","","","","","","","","","","","","","","","","","TRUE","","Upwork Global Inc.","","","Mountain View","DigiCert SHA2 High Assurance Server CA","TLS 1.3","1651665600","","","TRUE","","","","","","","Upwork Global Inc.","","","","","","",""
"https://angular.io","","706308","US","","NL ; ar ; ar-ae ; az ; bg ; bn ; ca ; cn ; cs ; cy","","","","","","","https://www.twitter.com/angular","","","","","https://www.youtube.com/angular","","https://www.linkedin.com/company/pinchmeup ; https://www.linkedin.com/company/angular-developer","","Angular - Request for document failed","","Super-powered by Google ©2010-2022.","2010","TRUE","","","","","","GTS CA 1D4","TLS 1.3","1647710897","TRUE","TRUE","TRUE","","","","","","Angular","ANGULAR","Computer Software","n/a","El Paso, Texas ; Los Angeles Dr, El Paso, Texas 79902, US","1,001-5,000 employees","Self-Employed","2016","Sagar jagdale -- Developer ; Francesco Roberto Pirri -- Jr Front-End Developer ; Array Legion -- Author | Influencer | blogger | C. E. O Array spot media |web developer| programmer with React | ; Jonathan Tena -- Ethical Hacker"
"https://ap.www.namecheap.com","1.3.13 ; 1.5.5","692254","US","","AR-ar ; ES ; GB ; ar ; ar-AE ; ar-EG ; ar-SA ; ar-sa ; az ; bn","nvprivacy@namecheap.com ; dpo@namecheap.com ; support@namecheap.com ; legal@namecheap.com","","","","","","https://www.twitter.com/namecheap","https://www.facebook.com/NameCheap","https://www.instagram.com/namecheap","","","","https://www.pinterest.com/namecheap","","","Buy a domain name - Register cheap domain names from $0.99 - Namecheap","Register domain names at Namecheap. Buy cheap domain names and enjoy 24/7 support. With over 13 million domains under management, you know you’re in good hands.","copyright © 2000–2021 Namecheap, Inc.","2000","TRUE","FAQPage ; Question ; Answer ; Organization","","","","","Sectigo ECC Extended Validation Secure Server CA","TLS 1.2","1671321599","TRUE","TRUE","TRUE","","","","","","","NAMECHEAP","","","","","","",""
"https://miro.com","1.6.9 ; 1.8.2","597467","US","","DE ; EN ; PL-pl ; RU ; SR ; TH ; ar ; bg ; bg-BG ; bn","welcome@miro.com ; privacy@miro.com ; legal@miro.com ; miroverse@miro.com ; info@miro.com ; welcome@miro.com ; Oliver Raskin <oliver@miro.com>","info@miro.com ; welcome@miro.com ; Oliver Raskin <oliver@miro.com>","Oliver Raskin <oliver@miro.com>","","","","https://www.twitter.com/mirohq","https://www.facebook.com/TryMiro","https://www.instagram.com/mirohq","","","","","https://www.linkedin.com/company/mirohq ; https://www.linkedin.com/company/neurotech-mindmap","","The Visual Collaboration Platform for Every Team | Miro","Scalable, secure, cross-device and enterprise-ready team collaboration whiteboard for distributed teams. Join 30M+ users from around the world.","© 2022 Miro","2022","TRUE","","","","","","Amazon","TLS 1.2","1672876799","TRUE","TRUE","FALSE","","","","","","Miro","MIRO","Computer Software","With more than 30M + users (and 99% of the Fortune 100), Miro is the online collaborative whiteboard platform that enables distributed teams to work effectively together, from running brainstorming sessions and workshops to planning projects, from designing new products and services to facilitating agile ceremonies.","San Francisco, California ; 535 Mission St, San Francisco, California 94105, US","1,001-5,000 employees","Privately Held","2011","Oliver Raskin -- ; Peter Boersma -- DesignOps Manager at Miro. Process enthusiast, design leader, and UX strategist. ; Todd Rice -- CX Design Lead @Volkswagen + Facilitator Advisory Panel @Miro + Founder @Boogli ; Paul D'Arcy -- CMO at Miro"
"https://www.cricbuzz.com","1.8.0","570028","","","","","","","","","","","","","","","","","https://www.linkedin.com/company/cricbuzz.com ; https://www.linkedin.com/company/cricfans","","","","","","","","","","","","","","","","","TRUE","","","","","","Cricbuzz.com","","Spectator Sports","A cricket website that started as the provider of the fastest (and it really IS the fastest) ball-by-ball commentary for every major cricket match in the world. Its speed on the commentary has now reached a level where it is at par with the live telecast of the match, but along with commentary, the website has also started developing its own content - with features, write-ups, and up-to-date news from around the cricketing world.","Bangalore, Karnataka ; No. 190-B, 1st Floor, HN Plaza,, 100 Ft Ring road, BSK 3rd Stage, Bangalore, Karnataka 560085, IN","51-200 employees","Privately Held","","Joy Bhattacharjya -- ; Piyush Agrawal -- Founder & Director, Media Sales at Cricbuzz.com ; Sourabh Khemalapure -- Video Operations Manager at Cricbuzz.com ; Kritika Naidu -- Journalist, Content writer"
"https://m.blog.naver.com","1.5.0","542028","","","EN ; KO ; KR ; ar ; az ; ca ; cy ; da ; en ; en-AU","","","","","","","","","","","","","","https://www.linkedin.com/company/ppl수도권약대생제약마케팅전략학회","","","","","","TRUE","","NAVER Cloud Corp.","","","Seongnam-si","GeoTrust RSA CA 2018","TLS 1.2","1667606399","TRUE","TRUE","TRUE","","","","","","PPL(수도권약대생제약마케팅전략학회)","NAVER Cloud Corp.","Pharmaceutical Manufacturing","","","51-200 employees","Nonprofit","","GO Jiyoung -- Student at seoulnationaluniversity"
"https://www.istockphoto.com","1.4.1 ; 1.4.14","526834","US ; SP","","EN ; ES ; FR ; ar ; az ; bg ; bn ; bs ; ca ; ch","","","","+18664786251","","","https://www.twitter.com/iStock","https://www.facebook.com/istock","https://www.instagram.com/istockbygettyimages","","","","","https://www.linkedin.com/company/istock-brasil-by-getty-images ; https://www.linkedin.com/company/aurospics ; https://www.linkedin.com/company/abrstockmarket ; https://www.linkedin.com/company/reinavanesa ; https://www.linkedin.com/company/izabela-habur-photography","","Stock Images, Royalty-Free Pictures, Illustrations & Videos - iStock","Explore millions of exclusive photographs, videos and illustrations that are researched and shot by a diverse global community to be inclusive and inspirational.","© 2022 iStockphoto LP. The iStock design is a trademark of iStockphoto LP. Browse millions of high-quality stock photos, illustrations, and videos.","2022","TRUE","WebSite ; SearchAction","","","","","Amazon","TLS 1.3","1671321599","TRUE","TRUE","TRUE","","","","","","iStock Brasil","ISTOCK PHOTO","Photography","Fundada em 2000, a iStock criou o segmento de acervo com crowd-sourcing e tornou-se a fonte original de fotografias, vetores e ilustrações, e vídeo clipes gerados pelos usuários. Por mais de 15 anos, temos dado aos nossos artistas uma plataforma para ganhar dinheiro com suas paixões, licenciando seu conteúdo para empresas e pessoas em todo o mundo, para uso em uma ampla variedade de projetos. Hoje, continuamos a ser líderes no setor e o principal destino para profissionais de criação que querem causar um grande impacto sem quebrar a banca. Nós acreditamos que as imagens têm o poder de mover o mundo. Acreditamos também que nossos clientes merecem o melhor conteúdo de acervo, e é por isso que temos orgulho de oferecer milhões de imagens de acervo exclusivas que podem ser obtidas apenas conosco. A iStock é parte da família de empresas da Getty Images.","São Paulo, SP ; São Paulo, SP, BR","51-200 employees","Privately Held","2000","Felipe Carmo -- Gestor de negócios e eficiência operacional ; Victor Lima -- Fotógrafo ; Rafa S Santos -- Designer na iStock Brasil ; ali olmaz -- Yardımcı - iStock Brasil"
"https://mxtoolbox.com","1.5.8","505391","","","","","","","","","","","","","","","","","https://www.linkedin.com/company/mxtoolbox ; https://www.linkedin.com/company/my-toolbox-inc","","","","","","","","","","","","","","","","","TRUE","","","","","","MxToolBox","","IT Services and IT Consulting","MxToolbox supports global Internet operations by providing free, fast and accurate network diagnostic and lookup tools. Millions of technology professionals use our tools to help diagnose and resolve a wide range of infrastructure issues. Innovation is why we come to work everyday. Almost all of our online tools started as internal projects we found useful and decided to share with the community. As the site has grown, we continue to invest heavily to develop new tools and services. Innovation is why we come to work everyday.","Austin, TX ; 12710 Research Blvd., Suite 225, Austin, TX 78759, US","11-50 employees","Privately Held","2003","Peter Leblond -- Product Development Engineer ; Steve Davies -- Head of Research and Development at MxToolBox ; John Barron -- Technical Support Professional at MxToolBox ; Austin Ewing -- Director of Product at MxToolBox"
"https://community.shopify.com","1.8.2","422861","US","WA","EN ; JA ; SR ; ar ; az ; bg ; ca ; cy ; da ; da-DK","","","","","","","https://www.twitter.com/shopify","https://www.facebook.com/shopify","https://www.instagram.com/shopify","","","","https://www.pinterest.com/shopify","https://www.linkedin.com/company/shopify","","","","","","TRUE","","Khoros, LLC","","","San Francisco","DigiCert TLS RSA SHA256 2020 CA1","TLS 1.3","1668211199","TRUE","TRUE","TRUE","UA-82702","","","","","","Khoros, LLC","","","","","","",""
"https://webflow.com","1.8.0","420658","US","","EN ; NL ; PT ; af ; ar ; ar-EG ; bn ; ca ; cs ; cy","privacy@webflow.com ; contact@webflow.com ; sponsorships@webflow.com ; events@webflow.com ; drew.coryer@webflow.com ; anthony.young-wiseman@webflow.com ; jenna.simmons@webflow.com ; support@webflow.com ; privacy@webflow.com ; ncc@webflow.com","sponsorships@webflow.com ; events@webflow.com ; drew.coryer@webflow.com ; anthony.young-wiseman@webflow.com ; jenna.simmons@webflow.com ; support@webflow.com ; privacy@webflow.com ; ncc@webflow.com ; Topher Chung <topher@webflow.com> ; Gregg Meluski -- Senior Software Engineer at Webflow <gregg.meluski@webflow.com>","sponsorships@webflow.com ; drew.coryer@webflow.com ; anthony.young-wiseman@webflow.com ; jenna.simmons@webflow.com ; ncc@webflow.com ; Topher Chung <topher@webflow.com> ; Gregg Meluski -- Senior Software Engineer at Webflow <gregg.meluski@webflow.com> ; Dave Gilbert <dave.gilbert@webflow.com> ; Dave Gilbert <dave@webflow.com>","","","","https://www.twitter.com/webflow","https://www.facebook.com/webflow","https://www.instagram.com/webflow","","https://www.tiktok.com/@webflow","https://www.youtube.com/webflow","","https://www.linkedin.com/company/webflow-inc- ; https://www.linkedin.com/company/deftuxdesign","","Webflow: Create a custom website | No-code website builder","Create professional, custom websites in a completely visual canvas with no code. Learn how to create a website by trying Webflow for free!","","","TRUE","Organization","","","","","Amazon","TLS 1.2","1665187199","TRUE","TRUE","TRUE","UA-1234567","","","","","Webflow","WEBFLOW","Computer Software","Webflow is the way to design, build, and launch powerful websites visually — without coding.","San Francisco, California ; 398 11th St, 2nd Floor, San Francisco, California 94103, US","201-500 employees","Privately Held","2012","Grímur Grímsson -- Video Producer at Webflow ; Dave Gilbert -- ; Topher Chung -- ; Eric Wittman -- ; Gregg Meluski -- Senior Software Engineer at Webflow"
