"URL","Versions","Traffic rank","IP country","IP region","Language","Email address","Email address (verified)","Email address (safe)","Phone number","Skype","WhatsApp","Twitter","Facebook","Instagram","GitHub","TikTok","YouTube","Pinterest","LinkedIn","Owler","Title","Description","Copyright","Copyright year","Responsive","schema.org types","Cert organisation","Cert country","Cert state","Cert locality","Cert issuer","Cert protocol","Cert expiry","SPF record","DMARC record","SSL/TLS enabled","Google Analytics","Google AdSense","Medianet","Facebook","Optimizely","Company name","Inferred company name","Industry","About","Locations","Company size","Company type","Company founded","People"
"https://web.whatsapp.com","16.14.0","8168731","","","","","","","","","","","","","","","","","https://www.linkedin.com/company/achieve-languages-jacareí ; https://www.linkedin.com/company/marsonrepresentacoes ; https://www.linkedin.com/company/agile-dedetizadora ; https://www.linkedin.com/company/doradoaso ; https://www.linkedin.com/company/grupoprimeb2b ; https://www.linkedin.com/company/mexicanamultimodal","","","","","","","","","","","","","","","","","FALSE","","","","","","Achieve Languages Jacareí","","Education Management","Somos uma rede de escolas de idiomas de abrangência nacional, que atua com base em valores educacionais sólidos, que alia o que há de mais atual em termos de ensino de línguas com a tradição e a confiabilidade alcançadas ao longo de vários séculos dedicados a estudos, pesquisas e desenvolvimento na área educacional por parte da Oxford University Press e da University of Oxford. O respaldo dessas instituições nos habilita a desenvolver um trabalho de alta qualidade e que proporciona todas as condições para que os alunos aprendam a se comunicar no idioma estudado.","Jacarei, AC","2-10 employees","Educational Institution","2005","fabiana torati -- Proprietário da empresa na Achieve Languages by Oxford"
"https://medium.com","16.10.2","2186236","","","EN ; EN-US ; ES ; ES-XM ; FR ; ID ; IT ; KO ; LV ; NL","yourfriends@medium.com","yourfriends@medium.com","yourfriends@medium.com","","","","","","","","","","","","","Medium – Where good ideas find you.","Medium is an open platform where readers find dynamic thinking, and where expert and undiscovered voices can share their writing on any topic.","","","FALSE","Organization ; ImageObject","","","","","Cloudflare Inc ECC CA-3","TLS 1.3","1648511999","","","TRUE","UA-24232453","","","","","","MEDIUM","","","","","","",""
"https://www.fiverr.com","15.7.0 ; 16.14.0","1951216","US","","EN ; EN-US ; ES ; FR ; JA ; NL ; PL ; TR ; ar ; ar-AE","privacy@fiverr.com ; workspace-support@fiverr.com ; optout@fiverr.com ; evyatar.a@fiverr.com ; workspace-support@fiverr.com ; info@fiverr.com ; optout@fiverr.com ; privacy@fiverr.com ; support@fiverr.com","evyatar.a@fiverr.com ; workspace-support@fiverr.com ; info@fiverr.com ; optout@fiverr.com ; privacy@fiverr.com ; support@fiverr.com","","","","","https://www.twitter.com/fiverr","https://www.facebook.com/fiverr","https://www.instagram.com/fiverr","","","","https://www.pinterest.com/fiverr","https://www.linkedin.com/company/fiverr-com","","Fiverr - Freelance Services Marketplace for Businesses","Fiverr's mission is to change how the world works together. Fiverr connects businesses with freelancers offering digital services in 500+ categories.","","","TRUE","Organization ; WebSite ; BreadcrumbList ; ListItem ; FAQPage","","","","","Cloudflare Inc ECC CA-3","TLS 1.2","1672271999","TRUE","TRUE","TRUE","","","","","","","FIVERR","","","","","","",""
"https://coinmarketcap.com","","1695687","DE","","EN ; ES ; FA ; FR ; Fa-IR ; IT ; NL ; PL-pl ; PT ; RU","legal@coinmarketcap.com","legal@coinmarketcap.com","","","","","https://www.twitter.com/coinmarketcap ; https://www.twitter.com/CoinMarketCap","https://www.facebook.com/CoinMarketCap","https://www.instagram.com/coinmarketcap","","","","","https://www.linkedin.com/company/coinmarketcap ; https://www.linkedin.com/company/cryptocurrency-ico-airdrop ; https://www.linkedin.com/company/vastech-ileti-im-teknolojileri-san-ve-tic-ltd-ti- ; https://www.linkedin.com/company/happybirthdaycoin","","Cryptocurrency Prices, Charts And Market Capitalizations | CoinMarketCap","Top cryptocurrency prices and charts, listed by market capitalization. Free access to current and historic data for Bitcoin and thousands of altcoins.","","","TRUE","Organization ; Table","","","","","Amazon","TLS 1.3","1667519999","","","TRUE","","","","","","CoinMarketCap","COINMARKETCAP","Information Services","CoinMarketCap is the world's most trusted & accurate source for crypto market capitalizations, pricing and information. CoinMarketCap is a U.S. company registered in the United States of America. CoinMarketCap has been the premier price-tracking website for cryptocurrencies. It is the most referenced and trusted source for comparing thousands of crypto entities in the rapidly growing cryptocurrency space by users, institutions, and media. CoinMarketCap firmly stands for accurate, timely and unbiased information, enabling each end user to draw their own informed conclusions from CoinMarketCap data.","Delaware, DE ; Delaware, DE 19901, US","11-50 employees","Privately Held","","Stuart Langridge -- Head of SEO at CoinMarketCap ; Misty .K. -- Entrepreneurial business and finance professional with experience across a broad range of functions and industries Business Owner at… ; Gloria Tellez -- Empresária | Consultora | Autora | Palestrante ; Tien-Chih (Tenz) Shih -- Editor In Chief at HannStar Display"
"https://www.figma.com","","1586766","US","","DE ; EN ; ES ; En ; FR ; HU ; ID ; KO ; NL ; PL","press@figma.com ; Sho Kuwamoto -- Director of Product <sho@figma.com> ; support@figma.com ; copyright@figma.com ; privacyshield@figma.com ; jonas@figma.com","press@figma.com ; Sho Kuwamoto -- Director of Product <sho@figma.com> ; support@figma.com ; copyright@figma.com ; privacyshield@figma.com ; jonas@figma.com","Sho Kuwamoto -- Director of Product <sho@figma.com> ; privacyshield@figma.com ; jonas@figma.com","","","","https://www.twitter.com/figma","https://www.facebook.com/figmadesign","https://www.instagram.com/figma","","","https://www.youtube.com/figmadesign","","https://www.linkedin.com/company/figma ; https://www.linkedin.com/company/earth-dni ; https://www.linkedin.com/company/sadzeppelins ; https://www.linkedin.com/company/maki-studios ; https://www.linkedin.com/company/beamuze ; https://www.linkedin.com/company/craxionstudio ; https://www.linkedin.com/company/nerdfox-design ; https://www.linkedin.com/company/arch-ecosystem ; https://www.linkedin.com/company/kettik","","","","","","TRUE","","","","","","Sectigo RSA Domain Validation Secure Server CA","TLS 1.3","1648339199","","","TRUE","","","","","","Figma","FIGMA DESIGN","Design Services","Figma is a design platform for teams who build products together. Born on the Web, Figma helps teams create, share, test, and ship better designs from start to finish. Whether it’s consolidating tools, simplifying workflows, or collaborating across teams and time zones, Figma makes the design process faster, more efficient, and fun while keeping everyone on the same page.","San Francisco, California ; 760 Market St, San Francisco, California 94103, US","201-500 employees","Privately Held","2012","John Lilly -- Boards, Advising, Teaching ; Devin Foley -- Software Engineer at Figma ; Sho Kuwamoto -- Director of Product ; Mamoon Hamid -- Kleiner Perkins"
"https://www.canva.com","16.13.1","1372504","US","","EN ; EN-US ; ES ; FR ; IT ; IT-it ; NL ; PB ; PL-pl ; PT","simonmg@canva.com","simonmg@canva.com","","","","","https://www.twitter.com/canva","https://www.facebook.com/canva","https://www.instagram.com/canva","","","","https://www.pinterest.com/canva","","","","","© 2021 All Rights Reserved, Canva®","2021","TRUE","","","","","","Cloudflare Inc ECC CA-3","TLS 1.3","1659916799","","","TRUE","","","","","","","CANVA","","","","","","",""
"https://www.npmjs.com","","1233258","","","","","","","","","","","","","","","","","https://www.linkedin.com/company/npm-inc- ; https://www.linkedin.com/company/react-scout ; https://www.linkedin.com/company/reduxie ; https://www.linkedin.com/company/middleman-npm ; https://www.linkedin.com/company/nodexchange ; https://www.linkedin.com/company/gremlin-orm ; https://www.linkedin.com/company/charon-graphql ; https://www.linkedin.com/company/ajv-validator","","","","","","","","","","","","","","","","","","","","","","","npm, Inc.","","Computer Software","Over 10 million software developers worldwide use npm, Inc.’s open source software and web registry to discover, share, and reuse packages of code. Our users download over 800,000 packages more than 7 billion times per week, and registry downloads have grown by more than 16x in the last two years. npm’s paid products and services offer teams and companies ways to organize, share, and secure code, integrate npm with testing and deployment tools, and bring code reuse into the enterprise. More than 150,000 companies, including BBC, Coinbase, eBay, Electronic Arts, Nvidia, and Slack rely on npm to reduce friction and build amazing things.","Oakland, CA ; 1999 Harrison St, Ste 1150, Oakland, CA 94612, US","11-50 employees","Privately Held","2014","C J Silverio -- Distinguished Engineer at Eaze ; Katie Fenn -- Senior Engineer at npm, Inc. ; Elad Ben Shmuel -- Effective code ; Andri Alexandrou -- Web Application Developer"
"https://discord.com","","1186989","","","AR ; DE ; EN ; EN-US ; ES ; FR ; FR-be ; HR ; ID ; IT","abuse@discord.com ; support@discord.com ; arbitration-opt-out@discord.com ; copyright@discord.com ; disputes@discord.com","abuse@discord.com ; support@discord.com ; arbitration-opt-out@discord.com ; copyright@discord.com ; disputes@discord.com","","","","","https://www.twitter.com/discord","","","","","","","","","","","","","TRUE","","","","","","Cloudflare Inc ECC CA-3","TLS 1.3","1671494399","","","TRUE","","","","","","","DISCORD","","","","","","",""
"https://newbedev.com","","1067218","US ; SG","","EN ; ES ; FR ; ID ; NL ; PL-pl ; PT-BR ; RU ; TR ; af","","","","","","","","","","","","","","","","Home - NewBeDev","","© 2021 newbedev","2021","TRUE","WebSite ; SearchAction ; EntryPoint ; WebPage ; ReadAction","","","","","R3","TLS 1.2","1649814795","FALSE","FALSE","TRUE","","","","","","","NEWBEDEV","","","","","","",""
"https://app.hubspot.com","","1049367","","","","","","","","","","","","","","","","","https://www.linkedin.com/company/valor-manufacturing-training ; https://www.linkedin.com/company/growthhackingconsultant","","","","","","FALSE","","","","","","Cloudflare Inc ECC CA-3","TLS 1.3","1656201599","TRUE","TRUE","TRUE","","","","","","Valor Manufacturing Training","CHROMEWEBDATA","Strategic Management Services","Valor Manufacturing Training is an organization dedicated to your employee retention strategy by offering state-of-the-art, standardized and personalized training content and delivery platforms to reduce your costs associated with training and turnover. 2020 changed the world and the manufacturing industry may have been impacted the most. Organizations were forced to change strategies, practices and operating procedures to better protect themselves and their employees. Adaptability has become a key factor to success in the manufacturing sector. Our mission is to ease your adaptability transition pinch-points and bottlenecks. Our strategy and corporate culture are built upon the foundational building blocks of honesty, integrity, inclusion, sustainability and respect. The heart of our mission is to partner with our client-partner organizations to overcome the challenges and barriers on their road to success.","St Joseph, Missouri ; 825 Edmond St, St Joseph, Missouri 64501, US","2-10 employees","Privately Held","2018","Chris Clark -- Marketing, Communications and Engagement Professional ; Sami Atieh -- Manufacturing Skills Training, Education, Tech. ; Lute Atieh, MBA -- We produce state-of-the-art training content and delivery solutions for the manufacturing industry. ; Bernice Brown -- Lead Artist at Valor Manufacturing Training"
